18:37:44.930 WARN  Malformed command packet. Kicking. 1 warning. 
21:25:07.059 WARN  ~~ LOOPS: 13. ENTITY #: 261//138. VIEW #: 2. BACKLOGGED :: 113.308%! ~~ 
21:25:07.059 WARN  Total activation time: 93 
21:25:07.059 WARN  Total collision time: 12 
21:25:07.059 WARN  Total cycle time: 386 
21:25:07.059 WARN  Total player update time: 32 
21:25:07.059 WARN  Total lb+minimap processing time: 4 
21:25:07.059 WARN  Total entity physics calculation time: 46 
21:25:07.059 WARN  Total entity life+thought cycle time: 171 
21:25:07.059 WARN  Total entity selfie-taking time: 56 
21:25:07.059 WARN  Total time: 800 
